CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Cluster
2.6,11.9,166.0,113.0,13.6,48.9,0.7578,0
2.0,9.4,103.0,92.0,13.3,47.7,0.7255,0
2.2,9.0,131.0,114.0,11.9,54.0,0.7502,0
2.2,9.2,172.0,122.0,11.0,60.0,0.7867,0
1.6,6.5,131.0,116.0,11.2,59.6,0.7888,0
1.2,4.7,89.0,96.0,11.2,59.2,0.7848,0
1.2,3.6,62.0,77.0,11.3,56.8,0.7603,0
1.0,3.3,62.0,76.0,10.7,60.0,0.7702,0
0.9,2.3,45.0,60.0,10.7,59.7,0.7648,0
0.6,1.7,33.0,47.0,10.3,60.2,0.7517,0
0.6499999999999999,1.3,21.0,34.0,10.1,60.5,0.7465,0
0.7,1.1,16.0,28.0,11.0,56.2,0.7366,0
0.7,1.6,34.0,48.0,10.5,58.1,0.7353,0
1.1,3.2,98.0,82.0,10.2,59.6,0.7417,0
2.0,8.0,174.0,112.0,10.8,57.4,0.7408,0
2.2,9.5,129.0,101.0,10.5,60.6,0.7691,0
1.7,6.3,112.0,98.0,10.8,58.4,0.7552,0
1.5,5.0,95.0,92.0,10.5,57.9,0.7352,0
1.6,5.2,104.0,95.0,9.5,66.8,0.7951,0
1.9,7.3,146.0,112.0,8.3,76.4,0.8393,0
2.9,11.5,207.0,128.0,8.0,81.1,0.8736,1
2.2,8.8,184.0,126.0,8.3,79.8,0.8778,0
2.2,8.3,193.0,131.0,9.7,71.2,0.8569,0
2.9,11.2,243.0,135.0,9.8,67.6,0.8185,1
4.8,20.8,281.0,151.0,10.3,64.2,0.8065,1
6.9,27.4,383.0,172.0,9.7,69.3,0.8319,1
6.1,24.0,351.0,165.0,9.6,67.8,0.8133,1
3.9,12.8,240.0,136.0,9.1,64.0,0.7419,1
1.5,4.7,94.0,85.0,8.2,63.4,0.6905,0
1.0,2.6,47.0,53.0,8.2,60.8,0.6657,0
1.7,5.9,122.0,97.0,8.3,58.5,0.6438,0
1.9,6.4,133.0,110.0,7.7,59.7,0.6308,0
1.4,4.1,82.0,91.0,7.1,61.8,0.6276,0
0.8,1.9,51.5,61.5,7.0,62.3,0.6261,0
0.7,1.1,21.0,32.0,6.1,65.9,0.6248,0
0.6,1.0,30.0,44.0,6.3,65.0,0.6233,0
0.8,1.8,56.0,71.0,6.8,62.9,0.6234,0
1.4,4.4,109.0,104.0,6.4,65.1,0.6316,0
4.4,17.9,307.0,141.0,7.3,63.1,0.6499,1
3.75,22.1,247.0,131.5,9.2,56.2,0.6561,1
3.1,14.0,187.0,122.0,13.2,41.7,0.632,0
2.7,11.6,216.0,143.0,14.3,38.4,0.6243,0
2.1,10.2,143.0,113.0,15.0,36.5,0.6195,0
2.5,11.0,160.0,116.0,16.1,34.5,0.6262,0
2.7,12.8,163.0,123.0,16.3,35.7,0.656,0
2.9,14.2,190.0,126.0,15.8,37.0,0.661,0
2.8,12.7,178.0,120.0,15.9,37.2,0.6657,0
2.4,11.7,150.0,119.0,16.9,34.3,0.6549,0
3.9,19.3,206.0,149.0,15.1,39.6,0.6766,1
3.7,18.2,202.0,145.0,14.4,43.4,0.7084,1
6.6,32.6,340.0,170.0,12.9,50.5,0.7478,1
4.4,20.1,274.0,149.0,12.1,53.3,0.7536,1
3.5,14.3,253.0,139.0,11.0,59.1,0.774,1
5.4,21.8,300.0,134.0,9.7,64.6,0.7771,1
2.7,9.6,193.0,113.0,9.5,64.1,0.7597,0
1.9,7.4,139.0,97.0,9.1,63.9,0.7423,0
1.6,5.4,83.0,82.0,8.8,63.9,0.7256,0
1.7,5.4,96.0,82.5,7.8,67.5,0.7173,0
1.35,6.2,109.0,83.0,7.0,71.1,0.7158,0
1.0,2.6,62.0,65.0,8.3,63.6,0.6982,0
1.2,2.9,53.0,60.0,7.2,67.5,0.6887,0
1.5,5.1,139.0,77.0,6.3,71.9,0.6932,0
2.7,11.8,256.0,96.0,6.5,71.6,0.6945,0
3.7,15.1,295.0,119.0,9.6,59.7,0.7124,1
3.2,12.9,250.0,126.0,12.4,51.2,0.7335,1
4.1,16.1,296.0,158.0,15.6,42.2,0.7451,1
3.6,14.0,239.0,161.0,18.4,33.8,0.709,1
2.8,12.3,153.0,124.0,19.4,31.3,0.695,0
2.0,8.6,118.0,102.0,18.0,34.8,0.7127,0
2.0,9.2,119.0,116.0,18.4,33.6,0.7042,0
2.5,10.2,138.0,124.0,17.6,35.1,0.7012,0
2.3,10.6,148.0,125.0,16.7,37.8,0.7117,0
3.2,15.5,227.0,148.0,16.1,41.0,0.7451,1
4.2,19.6,277.0,165.0,15.8,42.4,0.7569,1
4.2,19.2,279.0,161.0,15.7,44.1,0.7786,1
4.2,18.3,283.0,159.0,15.3,46.8,0.8091,1
3.1,13.1,214.0,143.0,14.6,48.6,0.806,1
2.6,10.9,172.0,130.0,14.7,49.3,0.8193,0
2.9,11.0,190.0,129.0,13.9,53.6,0.8498,0
2.8,11.9,174.0,119.0,14.6,51.5,0.8536,0
2.5,8.6,128.0,104.0,12.5,58.9,0.8537,0
2.4,9.7,99.0,93.0,11.6,63.4,0.8674,0
1.7999999999999998,5.2,70.0,82.0,12.1,61.1,0.8603,0
1.2,3.7,53.0,70.0,11.5,63.1,0.8533,0
1.0,2.5,44.0,63.0,11.6,62.2,0.8473,0
0.9,2.4,74.0,67.0,10.4,67.6,0.853,0
1.4,4.2,101.0,84.0,11.6,62.7,0.853,0
1.6,6.4,118.0,83.0,12.4,60.0,0.8627,0
2.2,8.6,144.0,98.0,14.5,53.1,0.8728,0
2.8,10.9,176.0,114.0,16.9,46.1,0.8789,0
2.8,10.7,161.0,119.0,19.3,38.3,0.8474,0
2.0,7.5,113.0,104.0,21.2,31.4,0.7812,0
1.8,7.5,103.0,102.0,21.4,30.2,0.7616,0
1.9,8.2,112.0,107.0,21.9,29.0,0.7525,0
3.0,11.9,170.0,129.0,22.2,28.4,0.7516,0
2.9,12.0,180.0,128.0,21.3,30.8,0.7696,0
2.5,12.2,160.0,121.0,19.7,36.7,0.8307,0
4.6,20.6,261.0,157.0,18.4,41.7,0.8732,1
5.9,23.1,325.0,173.0,17.6,46.1,0.921,1
3.4,14.7,217.0,146.0,16.7,49.6,0.932,1
2.1,9.0,146.0,121.0,16.3,51.0,0.9341,0
2.2,8.8,152.0,119.0,14.7,55.9,0.9314,0
1.8,7.4,104.0,99.0,14.8,54.7,0.9164,0
